Data Name	banpass 330nm_AbsTSpec		
Trace Name	banpass 330nm 250-1000 %Transmittance	banpass 330nm 250-1000 %Transmittance	
Wavelength Range	250-1000	250-1000	
Axis	X	Y	
Label	Wavelength [nm]	Transmittance [%]	
Sample Position			
Temperature (Celsius)			
File Timestamp	04/08/2022 14:32:19	04/08/2022 14:32:19	
Polarizer positions (Ex,Em)	( Open, Open)	( Open, Open)	
Rayleigh Masking			
Excitation wavelength (nm)	1000	1000	
Kinetic time (sec)			
0	250	0.0720439	
1	251	0.0696637	
2	252	0.0665959	
3	253	0.0652689	
4	254	0.0606086	
5	255	0.0592312	
6	256	0.0554247	
7	257	0.0545971	
8	258	0.0518794	
9	259	0.0532565	
10	260	0.0502986	
11	261	0.0491377	
12	262	0.0484958	
13	263	0.0483676	
14	264	0.0470085	
15	265	0.0472356	
16	266	0.0465829	
17	267	0.0457113	
18	268	0.0452173	
19	269	0.0456406	
20	270	0.0438337	
21	271	0.0442058	
22	272	0.0439452	
23	273	0.044114	
24	274	0.0425094	
25	275	0.0410661	
26	276	0.0418485	
27	277	0.0409233	
28	278	0.0408206	
29	279	0.0414039	
30	280	0.0398879	
31	281	0.0398736	
32	282	0.039461	
33	283	0.0381349	
34	284	0.0387986	
35	285	0.0390465	
36	286	0.0398133	
37	287	0.0403621	
38	288	0.0409315	
39	289	0.0417799	
40	290	0.0423783	
41	291	0.0427873	
42	292	0.0434753	
43	293	0.0444512	
44	294	0.0458385	
45	295	0.0466916	
46	296	0.0476729	
47	297	0.0488885	
48	298	0.0496319	
49	299	0.0507074	
50	300	0.051693	
51	301	0.0529665	
52	302	0.0541897	
53	303	0.0562545	
54	304	0.0584629	
55	305	0.0605535	
56	306	0.0636431	
57	307	0.0677544	
58	308	0.0720282	
59	309	0.0780323	
60	310	0.0865125	
61	311	0.0974577	
62	312	0.113933	
63	313	0.138199	
64	314	0.175554	
65	315	0.225702	
66	316	0.316237	
67	317	0.486194	
68	318	0.804981	
69	319	1.46808	
70	320	2.91428	
71	321	5.74626	
72	322	11.748	
73	323	21.1709	
74	324	33.4202	
75	325	44.6715	
76	326	55.489	
77	327	63.114	
78	328	67.1596	
79	329	68.6165	
80	330	67.6998	
81	331	64.5971	
82	332	59.5486	
83	333	51.3192	
84	334	40.9028	
85	335	29.5889	
86	336	19.9808	
87	337	12.3704	
88	338	7.36826	
89	339	4.32992	
90	340	2.70127	
91	341	1.65209	
92	342	1.07191	
93	343	0.735574	
94	344	0.535657	
95	345	0.385756	
96	346	0.282003	
97	347	0.208941	
98	348	0.158251	
99	349	0.11758	
100	350	0.0887644	
101	351	0.0683602	
102	352	0.0553047	
103	353	0.0455668	
104	354	0.0384128	
105	355	0.0331815	
106	356	0.0295572	
107	357	0.0270955	
108	358	0.0246789	
109	359	0.0228878	
110	360	0.0213055	
111	361	0.0199326	
112	362	0.0185345	
113	363	0.0175142	
114	364	0.0164874	
115	365	0.0157971	
116	366	0.0149978	
117	367	0.0143389	
118	368	0.013652	
119	369	0.0129639	
120	370	0.0123127	
121	371	0.0119517	
122	372	0.0114409	
123	373	0.0109229	
124	374	0.0104313	
125	375	0.00996453	
126	376	0.00953598	
127	377	0.00920156	
128	378	0.00881673	
129	379	0.00836851	
130	380	0.00816788	
131	381	0.0075699	
132	382	0.00718633	
133	383	0.00680325	
134	384	0.00645816	
135	385	0.00607426	
136	386	0.0059756	
137	387	0.00561618	
138	388	0.00525508	
139	389	0.00509502	
140	390	0.00475318	
141	391	0.0045397	
142	392	0.00420117	
143	393	0.00426108	
144	394	0.0039275	
145	395	0.00391414	
146	396	0.0034303	
147	397	0.00324313	
148	398	0.00327924	
149	399	0.00301843	
150	400	0.00294682	
151	401	0.00267973	
152	402	0.00248577	
153	403	0.00220955	
