Data Name	longpass 350nm_AbsTSpec		
Trace Name	longpass 350nm 250-1000 %Transmittance	longpass 350nm 250-1000 %Transmittance	
Wavelength Range	250-1000	250-1000	
Axis	X	Y	
Label	Wavelength [nm]	Transmittance [%]	
Sample Position			
Temperature (Celsius)			
File Timestamp	04/08/2022 14:28:17	04/08/2022 14:28:17	
Polarizer positions (Ex,Em)	( Open, Open)	( Open, Open)	
Rayleigh Masking			
Excitation wavelength (nm)	1000	1000	
Kinetic time (sec)			
0	250	-0.116579	
1	251	-0.113084	
2	252	-0.100614	
3	253	-0.0943423	
4	254	-0.0875041	
5	255	-0.0826202	
6	256	-0.0765031	
7	257	-0.0688715	
8	258	-0.0633096	
9	259	-0.0546435	
10	260	-0.0510903	
11	261	-0.0471464	
12	262	-0.0443113	
13	263	-0.0419569	
14	264	-0.0378823	
15	265	-0.033775	
16	266	-0.0334109	
17	267	-0.0307752	
18	268	-0.0263444	
19	269	-0.0240136	
20	270	-0.0228901	
21	271	-0.0194113	
22	272	-0.0175462	
23	273	-0.0162386	
24	274	-0.0148814	
25	275	-0.0115571	
26	276	-0.00937281	
27	277	-0.00750192	
28	278	-0.00713327	
29	279	-0.00480337	
30	280	-0.00262278	
31	281	-0.00281282	
32	282	-0.000499669	
33	283	-0.000683505	
34	284	0.00175311	
35	285	0.00216574	
36	286	0.00428391	
37	287	0.00359316	
38	288	0.00635044	
39	289	0.00619263	
40	290	0.00859797	
41	291	0.00793866	
42	292	0.00992357	
43	293	0.00988705	
44	294	0.0117594	
45	295	0.0122725	
46	296	0.013207	
47	297	0.0138886	
48	298	0.0152054	
49	299	0.0151357	
50	300	0.0162488	
51	301	0.0168011	
52	302	0.0179006	
53	303	0.0186817	
54	304	0.0204199	
55	305	0.0209423	
56	306	0.0220205	
57	307	0.0229868	
58	308	0.0241153	
59	309	0.0254243	
60	310	0.02696	
61	311	0.0281605	
62	312	0.029624	
63	313	0.0315936	
64	314	0.0335453	
65	315	0.0356082	
66	316	0.0375813	
67	317	0.0401871	
68	318	0.0423222	
69	319	0.0454467	
70	320	0.047807	
71	321	0.0510029	
72	322	0.0539013	
73	323	0.0575401	
74	324	0.0612104	
75	325	0.0646593	
76	326	0.0688603	
77	327	0.0737005	
78	328	0.0783168	
79	329	0.0843247	
80	330	0.0913534	
81	331	0.0997686	
82	332	0.108266	
83	333	0.119223	
84	334	0.132818	
85	335	0.149872	
86	336	0.170863	
87	337	0.199413	
88	338	0.238939	
89	339	0.296663	
90	340	0.376951	
91	341	0.519634	
92	342	0.754223	
93	343	1.13591	
94	344	1.71627	
95	345	2.77012	
96	346	4.53069	
97	347	7.33947	
98	348	11.3954	
99	349	17.8702	
100	350	26.6258	
101	351	37.7066	
102	352	48.8179	
103	353	60.9672	
104	354	72.2992	
105	355	81.7736	
106	356	88.2144	
107	357	91.9849	
108	358	94.322	
109	359	95.4338	
110	360	95.7226	
111	361	95.6292	
112	362	95.3526	
113	363	95.0668	
114	364	94.7786	
115	365	94.5514	
116	366	94.4097	
117	367	94.3697	
118	368	94.4148	
119	369	94.5876	
120	370	94.8481	
121	371	95.178	
122	372	95.5549	
123	373	95.9663	
124	374	96.3545	
125	375	96.7131	
126	376	96.9489	
127	377	97.1155	
128	378	97.1751	
129	379	97.1754	
130	380	97.0943	
131	381	96.9785	
132	382	96.8326	
133	383	96.7302	
134	384	96.6575	
135	385	96.6446	
136	386	96.6826	
137	387	96.7798	
138	388	96.9003	
139	389	97.0301	
140	390	97.111	
141	391	97.1655	
142	392	97.1502	
143	393	97.081	
144	394	96.9467	
145	395	96.8093	
146	396	96.6483	
147	397	96.5413	
148	398	96.4515	
149	399	96.4235	
150	400	96.4643	
151	401	96.563	
152	402	96.7028	
153	403	96.8752	
154	404	97.0314	
155	405	97.152	
156	406	97.1963	
157	407	97.1795	
158	408	97.0682	
159	409	96.8613	
160	410	96.5757	
161	411	96.225	
162	412	95.8632	
163	413	95.5408	
164	414	95.2588	
165	415	95.0677	
166	416	94.9542	
167	417	94.9708	
168	418	95.0832	
169	419	95.2755	
170	420	95.542	
171	421	95.8535	
172	422	96.1889	
173	423	96.4977	
174	424	96.7613	
175	425	96.9625	
176	426	97.0725	
177	427	97.0829	
178	428	96.9959	
179	429	96.845	
180	430	96.6367	
181	431	96.3869	
182	432	96.1512	
183	433	95.945	
184	434	95.7832	
185	435	95.7005	
186	436	95.6935	
187	437	95.7708	
188	438	95.9135	
189	439	96.1083	
190	440	96.4607	
191	441	96.7227	
192	442	96.9519	
193	443	97.1386	
194	444	97.2593	
195	445	97.3066	
196	446	97.2627	
197	447	97.1334	
198	448	96.9006	
199	449	96.61	
200	450	96.2759	
201	451	95.9646	
202	452	95.6411	
203	453	95.3267	
204	454	95.0038	
205	455	94.7655	
206	456	94.5727	
207	457	94.4498	
208	458	94.4029	
209	459	94.4377	
210	460	94.5401	
211	461	94.6902	
212	462	94.8674	
213	463	95.0808	
214	464	95.2874	
215	465	95.4978	
216	466	95.7059	
217	467	95.8877	
218	468	96.0244	
219	469	96.137	
220	470	96.2012	
221	471	96.2479	
222	472	96.2725	
223	473	96.273	
224	474	96.2553	
225	475	96.2326	
226	476	96.1974	
227	477	96.1863	
228	478	96.2001	
229	479	96.2168	
230	480	96.2712	
231	481	96.3467	
232	482	96.4312	
233	483	96.5265	
234	484	96.6357	
235	485	96.7606	
236	486	96.8901	
237	487	97.0135	
238	488	97.1266	
239	489	97.2106	
240	490	97.2732	
241	491	97.3073	
242	492	97.311	
243	493	97.2685	
244	494	97.2036	
245	495	97.0934	
246	496	96.9511	
247	497	96.8009	
248	498	96.6275	
249	499	96.4464	
250	500	96.2652	
251	501	96.0401	
252	502	95.8537	
253	503	95.684	
254	504	95.5352	
255	505	95.3985	
256	506	95.2841	
257	507	95.2	
258	508	95.1462	
259	509	95.1164	
260	510	95.1179	
261	511	95.1413	
262	512	95.1839	
263	513	95.2446	
264	514	95.312	
265	515	95.3802	
266	516	95.467	
267	517	95.5375	
268	518	95.5979	
269	519	95.6429	
270	520	95.6574	
271	521	95.6635	
272	522	95.6342	
273	523	95.585	
274	524	95.507	
275	525	95.3967	
276	526	95.2731	
277	527	95.1066	
278	528	94.9117	
279	529	94.7205	
280	530	94.5276	
281	531	94.3019	
282	532	94.0915	
283	533	93.8797	
284	534	93.69	
285	535	93.4973	
286	536	93.3254	
287	537	93.1831	
288	538	93.0496	
289	539	92.9759	
290	540	92.9116	
291	541	92.8807	
292	542	92.8821	
293	543	92.9136	
294	544	92.9652	
295	545	93.0549	
296	546	93.1637	
297	547	93.3084	
298	548	93.4548	
299	549	93.6271	
300	550	93.812	
301	551	93.9966	
302	552	94.1861	
303	553	94.3823	
304	554	94.5654	
305	555	94.7388	
306	556	94.906	
307	557	95.0568	
308	558	95.1969	
309	559	95.3121	
310	560	95.4143	
311	561	95.4976	
312	562	95.5491	
313	563	95.5847	
314	564	95.5987	
315	565	95.5978	
316	566	95.5701	
317	567	95.5302	
318	568	95.4793	
319	569	95.4219	
320	570	95.3595	
321	571	95.2793	
322	572	95.2032	
323	573	95.1059	
324	574	95.0279	
325	575	94.9517	
326	576	94.8873	
327	577	94.8204	
328	578	94.7773	
329	579	94.7338	
330	580	94.6899	
331	581	94.6604	
332	582	94.6511	
333	583	94.6505	
334	584	94.6635	
335	585	94.677	
336	586	94.7161	
337	587	94.7569	
338	588	94.7987	
339	589	94.8555	
340	590	94.9168	
341	591	94.9828	
342	592	95.0612	
343	593	95.1371	
344	594	95.2084	
345	595	95.2792	
346	596	95.3472	
347	597	95.4106	
348	598	95.4548	
349	599	95.5043	
350	600	95.533	
351	601	95.5556	
352	602	95.5576	
353	603	95.5519	
354	604	95.5341	
355	605	95.4929	
356	606	95.4402	
357	607	95.3761	
358	608	95.2853	
359	609	95.1968	
360	610	95.0807	
361	611	94.9395	
362	612	94.8146	
363	613	94.6626	
364	614	94.5127	
365	615	94.3351	
366	616	94.1559	
367	617	93.9822	
368	618	93.7936	
369	619	93.6084	
370	620	93.4289	
371	621	93.2305	
372	622	93.0399	
373	623	92.8697	
374	624	92.7023	
375	625	92.5438	
376	626	92.3934	
377	627	92.242	
378	628	92.1305	
379	629	92.033	
380	630	91.9311	
381	631	91.8547	
382	632	91.7817	
383	633	91.7374	
384	634	91.7092	
385	635	91.699	
386	636	91.701	
387	637	91.7371	
388	638	91.7674	
389	639	91.8101	
390	640	91.8808	
391	641	91.9672	
392	642	92.0535	
393	643	92.1505	
394	644	92.2621	
395	645	92.3883	
396	646	92.5174	
397	647	92.6397	
398	648	92.7747	
399	649	92.9049	
400	650	93.0412	
401	651	93.1544	
402	652	93.2744	
403	653	93.3847	
404	654	93.4771	
405	655	93.5714	
406	656	93.6428	
407	657	93.7119	
408	658	93.7704	
409	659	93.788	
410	660	93.8204	
411	661	93.8384	
412	662	93.8197	
413	663	93.8026	
414	664	93.7666	
415	665	93.7136	
416	666	93.64	
417	667	93.5658	
418	668	93.4837	
