Data Name	shortpass 350nm_AbsTSpec		
Trace Name	shortpass 350nm 250-1000 %Transmittance	shortpass 350nm 250-1000 %Transmittance	
Wavelength Range	250-1000	250-1000	
Axis	X	Y	
Label	Wavelength [nm]	Transmittance [%]	
Sample Position			
Temperature (Celsius)			
File Timestamp	04/08/2022 14:25:20	04/08/2022 14:25:20	
Polarizer positions (Ex,Em)	( Open, Open)	( Open, Open)	
Rayleigh Masking			
Excitation wavelength (nm)	1000	1000	
Kinetic time (sec)			
0	250	89.4639	
1	251	90.0774	
2	252	90.7858	
3	253	91.1536	
4	254	91.2754	
5	255	91.3635	
6	256	91.4577	
7	257	91.6663	
8	258	92.0258	
9	259	92.3622	
10	260	92.7201	
11	261	92.8658	
12	262	92.781	
13	263	92.5802	
14	264	92.3393	
15	265	92.0952	
16	266	92.1053	
17	267	92.3033	
18	268	92.7394	
19	269	93.1776	
20	270	93.5647	
21	271	93.9401	
22	272	94.0517	
23	273	94.107	
24	274	94.0972	
25	275	94.0346	
26	276	93.9	
27	277	93.929	
28	278	94.3324	
29	279	94.4919	
30	280	94.6768	
31	281	94.89	
32	282	95.0025	
33	283	95.0005	
34	284	95.0398	
35	285	95.0445	
36	286	95.0396	
37	287	94.9918	
38	288	94.9602	
39	289	94.9365	
40	290	94.9797	
41	291	94.9171	
42	292	94.877	
43	293	94.8911	
44	294	94.9398	
45	295	95.0105	
46	296	95.1398	
47	297	95.2059	
48	298	95.2535	
49	299	95.28	
50	300	95.2872	
51	301	95.2449	
52	302	95.0774	
53	303	94.9042	
54	304	94.6221	
55	305	94.3976	
56	306	94.1653	
57	307	94.004	
58	308	93.9335	
59	309	93.9139	
60	310	93.9867	
61	311	94.1117	
62	312	94.3112	
63	313	94.5073	
64	314	94.6767	
65	315	94.8226	
66	316	94.9653	
67	317	95.0785	
68	318	95.17	
69	319	95.2057	
70	320	95.2659	
71	321	95.3088	
72	322	95.3739	
73	323	95.3997	
74	324	95.4462	
75	325	95.4545	
76	326	95.3981	
77	327	95.3568	
78	328	95.2482	
79	329	95.1345	
80	330	94.9921	
81	331	94.8536	
82	332	94.7719	
83	333	94.6937	
84	334	94.6609	
85	335	94.6489	
86	336	94.661	
87	337	94.6102	
88	338	94.5071	
89	339	94.3514	
90	340	94.1516	
91	341	93.8644	
92	342	93.5999	
93	343	93.2702	
94	344	92.7649	
95	345	91.5027	
96	346	88.8476	
97	347	84.0369	
98	348	77.0771	
99	349	66.7346	
100	350	54.7138	
101	351	42.026	
102	352	31.5725	
103	353	22.2205	
104	354	15.0357	
105	355	9.88755	
106	356	6.66713	
107	357	4.70635	
108	358	3.26814	
109	359	2.28909	
110	360	1.63186	
111	361	1.20329	
112	362	0.894172	
113	363	0.686846	
114	364	0.537685	
115	365	0.426159	
116	366	0.349769	
117	367	0.286238	
118	368	0.236309	
119	369	0.199106	
120	370	0.168527	
121	371	0.146499	
122	372	0.12565	
123	373	0.10961	
124	374	0.0952254	
125	375	0.0839849	
126	376	0.0738158	
127	377	0.066656	
128	378	0.0586872	
129	379	0.052588	
130	380	0.0470598	
131	381	0.0430408	
132	382	0.0388804	
133	383	0.0359153	
134	384	0.033484	
135	385	0.0318433	
136	386	0.0307335	
137	387	0.0310796	
138	388	0.0308904	
139	389	0.0322163	
140	390	0.0340202	
141	391	0.0366592	
142	392	0.0399941	
143	393	0.0444909	
144	394	0.0483462	
145	395	0.0532758	
146	396	0.0579305	
147	397	0.0629091	
148	398	0.0691551	
149	399	0.0759984	
150	400	0.0833723	
151	401	0.0915573	
152	402	0.100594	
153	403	0.110249	
154	404	0.121582	
155	405	0.133417	
156	406	0.145209	
157	407	0.158208	
158	408	0.169463	
159	409	0.17565	
160	410	0.171502	
161	411	0.154151	
162	412	0.12867	
163	413	0.103729	
164	414	0.0867446	
165	415	0.0829269	
166	416	0.0906704	
167	417	0.101366	
168	418	0.11362	
169	419	0.128129	
170	420	0.145775	
171	421	0.167974	
172	422	0.195654	
173	423	0.229122	
174	424	0.273378	
175	425	0.331383	
176	426	0.409169	
177	427	0.507779	
178	428	0.627877	
179	429	0.803692	
180	430	1.06078	
181	431	1.45222	
182	432	2.06349	
183	433	3.0771	
184	434	4.86939	
185	435	8.05943	
186	436	13.7774	
187	437	23.0305	
188	438	34.7092	
189	439	46.6973	
190	440	56.0692	
191	441	59.2425	
192	442	54.9896	
193	443	46.1313	
194	444	36.3562	
195	445	28.2251	
196	446	22.7449	
197	447	19.4019	
198	448	17.4991	
199	449	16.651	
200	450	16.6133	
201	451	17.0889	
202	452	18.0883	
203	453	19.7325	
204	454	22.1473	
205	455	25.3683	
206	456	29.8485	
207	457	35.7517	
208	458	43.2721	
209	459	51.9453	
210	460	61.4006	
211	461	70.8456	
212	462	79.0995	
213	463	84.5753	
214	464	86.5638	
215	465	85.1615	
216	466	80.6346	
217	467	74.2649	
218	468	67.2857	
219	469	60.2243	
220	470	54.5408	
221	471	49.4844	
222	472	45.2793	
223	473	41.9998	
224	474	39.4825	
225	475	37.6879	
226	476	36.5141	
227	477	35.8574	
228	478	35.6551	
229	479	35.9388	
230	480	36.725	
231	481	37.9131	
232	482	39.4758	
233	483	41.4188	
234	484	43.8055	
235	485	46.7529	
236	486	50.1553	
237	487	54.1484	
238	488	58.9719	
239	489	64.0092	
240	490	69.5843	
241	491	75.1058	
242	492	80.4528	
243	493	84.9248	
244	494	88.6315	
245	495	91.4092	
246	496	92.8219	
247	497	92.9963	
248	498	92.0113	
249	499	90.0218	
250	500	87.1274	
251	501	83.3574	
252	502	79.6496	
253	503	75.9611	
254	504	72.3988	
255	505	69.0649	
256	506	65.8431	
257	507	63.1568	
258	508	60.932	
259	509	59.0981	
260	510	57.6052	
261	511	56.3926	
262	512	55.6159	
263	513	55.1634	
264	514	55.0481	
265	515	55.2361	
266	516	55.7748	
267	517	56.5961	
268	518	57.7123	
269	519	59.0911	
270	520	60.8993	
271	521	62.8688	
272	522	65.2547	
273	523	67.8452	
274	524	70.7735	
275	525	73.5791	
276	526	76.5217	
277	527	79.6255	
278	528	82.9504	
279	529	85.7857	
280	530	88.3655	
281	531	90.8405	
282	532	92.7101	
283	533	94.0024	
284	534	94.6457	
285	535	94.715	
286	536	94.1706	
287	537	93.0671	
288	538	91.3546	
289	539	89.41	
290	540	87.1712	
291	541	84.6026	
292	542	82.0702	
293	543	79.4763	
294	544	76.8297	
295	545	74.3998	
296	546	72.1088	
297	547	69.9205	
298	548	68.0629	
299	549	66.4946	
300	550	65.0344	
301	551	63.9189	
302	552	63.0054	
303	553	62.2468	
304	554	61.7551	
305	555	61.4769	
306	556	61.4086	
307	557	61.549	
308	558	61.9139	
309	559	62.4678	
310	560	63.1858	
311	561	64.1647	
312	562	65.2615	
313	563	66.5535	
314	564	68.119	
315	565	69.7175	
316	566	71.5407	
317	567	73.3943	
318	568	75.485	
319	569	77.3648	
320	570	79.3762	
321	571	81.5646	
322	572	83.659	
323	573	85.8412	
324	574	87.7468	
325	575	89.5297	
326	576	91.0256	
327	577	92.4004	
328	578	93.4426	
329	579	94.2136	
330	580	94.7337	
331	581	94.9162	
332	582	94.8174	
333	583	94.4383	
334	584	93.7767	
335	585	92.9006	
336	586	91.7804	
337	587	90.5258	
338	588	89.1429	
339	589	87.7104	
340	590	86.1383	
341	591	84.6428	
342	592	83.0943	
343	593	81.6297	
344	594	80.0337	
345	595	78.6286	
346	596	77.1866	
347	597	75.9241	
348	598	74.8035	
349	599	73.7414	
350	600	72.8031	
351	601	71.9616	
352	602	71.27	
353	603	70.6887	
354	604	70.2207	
355	605	69.8417	
356	606	69.6067	
357	607	69.4944	
358	608	69.4798	
359	609	69.5684	
360	610	69.774	
361	611	70.0996	
362	612	70.4927	
363	613	71.0091	
364	614	71.5834	
365	615	72.3002	
366	616	73.0995	
367	617	73.928	
368	618	74.8682	
369	619	75.9224	
370	620	76.9689	
371	621	78.159	
372	622	79.3242	
373	623	80.5741	
