Data Name	banpass 300nm_AbsTSpec		
Trace Name	banpass 300nm 250-1000 %Transmittance	banpass 300nm 250-1000 %Transmittance	
Wavelength Range	250-1000	250-1000	
Axis	X	Y	
Label	Wavelength [nm]	Transmittance [%]	
Sample Position			
Temperature (Celsius)			
File Timestamp	04/08/2022 14:37:00	04/08/2022 14:37:00	
Polarizer positions (Ex,Em)	( Open, Open)	( Open, Open)	
Rayleigh Masking			
Excitation wavelength (nm)	1000	1000	
Kinetic time (sec)			
0	250	0.050973	
1	251	0.0477886	
2	252	0.047281	
3	253	0.0450202	
4	254	0.0460142	
5	255	0.0456658	
6	256	0.0473228	
7	257	0.0475393	
8	258	0.0473106	
9	259	0.0489653	
10	260	0.0499066	
11	261	0.0489614	
12	262	0.0504078	
13	263	0.0510407	
14	264	0.051226	
15	265	0.0521447	
16	266	0.0531384	
17	267	0.0532583	
18	268	0.0547728	
19	269	0.0567991	
20	270	0.0576685	
21	271	0.058818	
22	272	0.0599905	
23	273	0.0590982	
24	274	0.0600243	
25	275	0.0597737	
26	276	0.0622019	
27	277	0.0633031	
28	278	0.0644869	
29	279	0.0653075	
30	280	0.0684412	
31	281	0.0707978	
32	282	0.0750028	
33	283	0.0825138	
34	284	0.0919482	
35	285	0.109958	
36	286	0.143573	
37	287	0.201305	
38	288	0.320483	
39	289	0.576858	
40	290	1.08592	
41	291	2.21721	
42	292	4.40164	
43	293	7.70716	
44	294	12.5065	
45	295	18.3897	
46	296	24.1237	
47	297	29.9272	
48	298	34.9573	
49	299	38.5267	
50	300	40.7337	
51	301	40.8941	
52	302	38.6489	
53	303	33.7171	
54	304	26.8355	
55	305	19.4801	
56	306	12.6118	
57	307	7.31337	
58	308	4.09212	
59	309	2.16769	
60	310	1.19972	
61	311	0.717869	
62	312	0.452028	
63	313	0.300955	
64	314	0.209414	
65	315	0.157166	
66	316	0.118726	
67	317	0.0913513	
68	318	0.073712	
69	319	0.060954	
70	320	0.0513304	
71	321	0.0443851	
72	322	0.0375856	
73	323	0.0323405	
74	324	0.0275796	
75	325	0.0238826	
76	326	0.0206104	
77	327	0.0177622	
78	328	0.0155404	
79	329	0.0135093	
80	330	0.0118508	
81	331	0.010619	
82	332	0.00949734	
83	333	0.00874921	
84	334	0.00781353	
85	335	0.00745248	
86	336	0.00688226	
87	337	0.00640747	
88	338	0.00610757	
89	339	0.00571567	
90	340	0.00555099	
91	341	0.00513268	
92	342	0.00493935	
93	343	0.00489534	
94	344	0.0043996	
95	345	0.00429314	
96	346	0.00441477	
97	347	0.00419039	
98	348	0.00423245	
99	349	0.0041233	
100	350	0.00434948	
101	351	0.0044286	
102	352	0.00453107	
103	353	0.0045152	
104	354	0.0045788	
105	355	0.0045516	
106	356	0.00452015	
107	357	0.00421616	
108	358	0.00414912	
109	359	0.00400857	
110	360	0.00366136	
111	361	0.00327585	
112	362	0.00314279	
113	363	0.00276429	
114	364	0.00254277	
115	365	0.00216566	
116	366	0.00178038	
117	367	0.00159795	
118	368	0.0015884	
119	369	0.00144036	
120	370	0.0011918	
121	371	0.00118291	
122	372	0.000975555	
123	373	0.000702982	
124	374	0.000674389	
125	375	0.000364021	
126	376	0.000300236	
127	377	0.000350943	
128	378	0.000307936	
129	379	0.000261778	
130	380	0.000131325	
131	381	-0.000112335	
132	382	-6.64447e-05	
133	383	-0.000285033	
134	384	-9.23613e-05	
135	385	-0.000167035	
136	386	-0.000247078	
137	387	-0.000234154	
138	388	-0.000586941	
139	389	-0.000290826	
140	390	-0.00048694	
141	391	-0.000319779	
142	392	-0.00049939	
143	393	-0.000398148	
144	394	-0.000517711	
145	395	-0.000445419	
146	396	-0.000673433	
147	397	-0.000622102	
148	398	-0.000771084	
149	399	-0.00079895	
150	400	-0.000861879	
151	401	-0.000965812	
152	402	-0.00103425	
153	403	-0.000937881	
154	404	-0.00114651	
155	405	-0.00117584	
156	406	-0.00118103	
157	407	-0.00117529	
158	408	-0.00127436	
159	409	-0.00131672	
160	410	-0.00142167	
161	411	-0.00123539	
162	412	-0.0013579	
163	413	-0.0012222	
164	414	-0.00138072	
165	415	-0.00128439	
166	416	-0.00148552	
167	417	-0.0014011	
168	418	-0.00139993	
169	419	-0.00145359	
170	420	-0.0014482	
171	421	-0.00139368	
172	422	-0.00135542	
173	423	-0.00147074	
174	424	-0.00146543	
175	425	-0.00143325	
176	426	-0.00152504	
177	427	-0.00149656	
178	428	-0.00145416	
179	429	-0.00144072	
180	430	-0.00161576	
181	431	-0.00164229	
182	432	-0.00158407	
183	433	-0.00176937	
184	434	-0.00176014	
185	435	-0.00178136	
186	436	-0.00165571	
187	437	-0.0017094	
188	438	-0.00170228	
189	439	-0.00164493	
190	440	-0.004693	
191	441	-0.00457304	
192	442	-0.00476492	
193	443	-0.00481613	
194	444	-0.0048383	
195	445	-0.00473382	
196	446	-0.00479167	
197	447	-0.00470746	
198	448	-0.00458624	
199	449	-0.00437719	
200	450	-0.00420219	
201	451	-0.00423877	
202	452	-0.00432818	
203	453	-0.00412675	
204	454	-0.00428596	
205	455	-0.00414144	
